Index Name,Date,Close,P/E,P/B,cagr_curve,cagr_dev,fwd_1m,fwd_3m,fwd_6m,fwd_1y,fwd_2y,fwd_3y,fwd_4y,fwd_5y,Year
NIFTY MIDCAP 50,2011-05-26,2402.3,15.64,1.99,4291.079172649432,-44.016413975490615,-0.3850476626566235,-13.963701452774435,-18.967239728593434,-15.487241393664409,-12.898056029638283,29.523789701536018,38.70249344378305,38.731632185821915,2011
NIFTY MIDCAP 50,2011-05-27,2449.6,16.17,2.08,4292.567153317527,-42.93391547510638,-2.3085401698236363,-13.32054212932723,-20.53192357935989,-17.11912148922272,-14.57993141737427,25.518451992161985,36.41206727629003,37.61022207707381,2011
NIFTY MIDCAP 50,2011-05-30,2471.8,16.32,2.1,4297.03419188321,-42.476603870896504,-2.1340723359495106,-12.941985597540262,-22.46136418804111,-20.05421150578527,-16.119831701593988,23.36354073954203,36.259001537341206,37.05801440245975,2011
NIFTY MIDCAP 50,2011-05-31,2509.0,16.27,2.13,4298.524237522177,-41.63113056107188,-3.585093662813865,-12.813870067756083,-23.611000398565174,-20.9027500996413,-19.340374651255477,25.370665603826236,34.23874053407734,34.56755679553607,2011
NIFTY MIDCAP 50,2011-06-01,2518.3,16.39,2.14,4300.014799851471,-41.43508529117189,-3.6195052217765977,-13.135845610133822,-22.745502918635594,-22.731604653933214,-19.20144541952905,24.907675813048492,33.743001230989165,32.99249493706071,2011
NIFTY MIDCAP 50,2011-06-02,2498.7,16.26,2.12,4301.505879050263,-41.91104068532175,-1.416736703085586,-12.45447632769039,-20.844839316444553,-22.265578100612316,-18.567655180693954,25.88746147996961,31.0081242245968,34.85212310401411,2011
NIFTY MIDCAP 50,2011-06-03,2479.8,16.25,2.1,4302.9974752977805,-42.37040541539267,-0.6653762400193552,-11.252923622872824,-20.322203403500293,-21.673118799903225,-17.947011855794827,27.687716751350912,29.04266473102668,34.45237519154769,2011
NIFTY MIDCAP 50,2011-06-06,2474.3,16.39,2.1,4307.47536812593,-42.55800002226122,-0.3031160328173632,-10.805076183162932,-20.040011316331896,-19.049832275795175,-16.471325223295487,36.22034514812269,26.104352746231243,35.4261811421412,2011
NIFTY MIDCAP 50,2011-06-07,2494.0,16.52,2.12,4308.969034361901,-42.12072586014008,0.5332798716920717,-10.160384923817167,-20.671611868484362,-18.901363271852446,-18.396150761828387,37.71451483560544,25.108259823576585,35.59542902967121,2011
NIFTY MIDCAP 50,2011-06-08,2490.2,16.48,2.05,4310.463218543685,-42.228946780310814,-0.11846438037105278,-9.57152035981046,-22.31547666854068,-18.35796321580595,-19.733354750622432,37.924664685567436,25.299172757208254,37.09742189382379,2011
NIFTY MIDCAP 50,2011-06-09,2490.25,16.48,2.05,4311.957920850883,-42.24781304200212,-0.7790382491717707,-11.19164742495733,-22.93946390924606,-18.528260214837864,-19.73496636883847,37.9218953920289,25.31673526754341,36.44212428471037,2011
NIFTY MIDCAP 50,2011-06-10,2476.1,16.39,2.04,4313.453141463162,-42.59587576833895,-0.21202697790880798,-13.206251766891485,-24.508299341706717,-18.062679213278944,-19.276281248737938,37.56916118088931,27.40196276402407,36.690763700981385,2011
